Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF,Median Income,Home Ownership,Median Home Value
10917 Cherry Ave bt41025,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,10917 Cherry Ave,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92337,0.0,26233.0,0.0,84649,7417,373600
11553 Foothill Blvd. RC,Bemus Riverside,Commercial,1,Smart,No,No,Unknown,Customer Referral,11553 Foothill Blvd,RanchoÂ Cucamonga,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91730,0.0,6587.0,0.0,74943,11771,427400
14144 Santa Ana Ave bt41119,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,14144 Santa Ana Ave,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92337,0.0,36905.0,0.0,84649,7417,373600
1660 N Linden - BR78102,Bemus Riverside,Commercial,2,Smart,Unknown,Unknown,Unknown,Business Development,1660 N Linden Ave,Rialto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92376,0.0,162166.0,133260.0,59416,12933,309700
1675 W Park Ave bt41053,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1675 W Park Ave,Redlands,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92373,0.0,44382.0,0.0,81557,6730,485300
19972 Patterson Ave br41162,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,19972 Patterson Ave,Perris,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92570,0.0,75021.0,0.0,62764,9453,299100
2580 E Philadelphia St bt 40653,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,2580 E Philadelphia St,Ontario,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91761,0.0,18647.0,0.0,76207,11167,423200
511-581 N Main St,Bemus Riverside,Commercial,1,Dumb,Unknown,Unknown,Unknown,Call In,511-581 N Main St,Corona,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92880,0.0,12147.0,0.0,109438,13574,579400
548 W Merrill Ave br40347,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,548 W Merrill Ave,Rialto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92376,0.0,35000.0,0.0,59416,12933,309700
750 S Valley View bt41102,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,750 S Valley View,San Bernardino,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92408,0.0,31750.0,0.0,57197,1515,295000
